2,0c628f88-0f7c-4465-abe1-3fd6f69a7803,08080126-1126-0626-0000-c8296e0c4253,d0b9bc30-6b24-4292-8deb-78fb04521179,2026-08-08T12:51:12.519244+10:00
Most popular home insurance for landlords in Australia with monthly payments
Tables found: 1
| Provider | Monthly payments | Why consider it |
|---|---|---|
| **NRMA Insurance** | Yes, depending on policy/quote | **Most recommended & top value** in Finder’s 2026 landlord awards |
| **AAMI** | Yes | Strong mainstream option; recognised by Canstar/Finder |
| **QBE** | Yes | **Canstar Outstanding Value** for Building & Contents in NSW and several other states |
| **Allianz** | Yes | Major insurer; recognised by Finder for landlord insurance |
| **ANZ Landlord Insurance** | **Yes, at no extra cost** | Monthly instalments by credit card or direct debit |
| **Great Southern Bank / Allianz** | **Yes, at no extra cost** | Monthly or annual payment option |
| **Terri Scheer** | Payment options available | Specialist landlord insurer, particularly worth comparing for rent-related risks |
| **EBM RentCover** | Payment options available | Specialist landlord insurer; often compared with Terri Scheer |
End Of Line
