2,867053cb-24d4-4a76-9f49-88bc1ad22ef7,08080119-1126-0626-0000-4af83fd39412,e22a450b-7411-4f5f-87bd-998b638c4a0e,2026-08-08T12:34:35.323504+10:00
Most trusted car insurance for used cars in Australia compared to other providers
Tables found: 1
| Insurer | Customer satisfaction* | Claims experience* | My view |
|---|---:|---:|---|
| **RAA** | **91%** | **84%** | ⭐ Excellent, especially in SA |
| **RACQ** | 85% | **85%** | ⭐ Excellent, especially QLD |
| **RAC** | 77% | 80% | ⭐ Strong WA option |
| **Youi** | 77% | 73% | ⭐ Good national option |
| **NRMA** | 72% | 78% | 👍 Strong mainstream choice |
| **GIO** | 75% | 76% | 👍 Good alternative |
| **Woolworths Everyday** | 71% | 77% | 👍 Worth pricing |
| **AAMI** | 62% | 64% | ⚠️ Average |
| **Budget Direct** | 62% | **52%** | ⚠️ Cheap, but weaker claims satisfaction |
| **Allianz** | 61% | 69% | ⚠️ Mixed |
End Of Line
