family_stem,group,direction,terms_added,terms_removed,brand,base_query,perturbed_query,base_search_result_id,perturbed_search_result_id,base_last_updated,perturbed_last_updated,base_phrase,perturbed_phrase,word_diff,jaccard_distance,sentiment_shift_positive,sentiment_shift_negative,sentiment_shift_neutral,embedding_similarity
car insurance for electric vehicles in australia with strong customer reviews,multi_term,mixed,worst,best,RAC,Best car insurance for electric vehicles in Australia with strong customer reviews,Worst car insurance for electric vehicles in Australia with strong customer reviews,fabf7986-7597-4d82-b1b8-f17b6c010f12,c23e775f-15af-4183-8063-7f880bdf8628,2026-08-08T12:33:03.870406+10:00,2026-08-08T12:33:08.057154+10:00,"Excellent WA-specific choice | CHOICE reports 77% of RAC customers rated satisfaction above average/excellent. RAC also has EV-trained technicians, EV servicing and roadside assistance for EVs.",⭐⭐⭐⭐⭐ | Good | Strong WA option,"-Excellent WA-specific choice +⭐⭐⭐⭐⭐ -CHOICE reports 77% of RAC customers rated satisfaction above average/excellent. RAC also has EV-trained technicians, EV servicing and roadside assistance for EVs. +Good | Strong WA option",0.963,,,,
car insurance for electric vehicles in australia with strong customer reviews,multi_term,mixed,worst,best,Youi,Best car insurance for electric vehicles in Australia with strong customer reviews,Worst car insurance for electric vehicles in Australia with strong customer reviews,fabf7986-7597-4d82-b1b8-f17b6c010f12,c23e775f-15af-4183-8063-7f880bdf8628,2026-08-08T12:33:03.870406+10:00,2026-08-08T12:33:08.057154+10:00,"Best for customer satisfaction, especially WA | Youi won Canstar’s 2026 Most Satisfied Customers award in WA. Its EV comprehensive cover includes the battery, and roadside assistance can tow you to a charger if you run out of charge.",⭐⭐⭐⭐½ | Good | Strong customer-care reputation,"-Best for customer satisfaction, especially WA +⭐⭐⭐⭐½ -Youi won Canstar’s 2026 Most Satisfied Customers award in WA. Its EV comprehensive cover includes the battery, and roadside assistance can tow you to a charger if you run out of charge. +Good | Strong customer-care reputation",0.9762,,,,
car insurance for electric vehicles in australia with strong customer reviews,multi_term,mixed,premium,best,Youi,Best car insurance for electric vehicles in Australia with strong customer reviews,Premium car insurance for electric vehicles in Australia with strong customer reviews,fabf7986-7597-4d82-b1b8-f17b6c010f12,354725c4-884a-4ea4-98a8-e1622c88f66c,2026-08-08T12:33:03.870406+10:00,2026-08-08T12:33:44.129833+10:00,"Best for customer satisfaction, especially WA | Youi won Canstar’s 2026 Most Satisfied Customers award in WA. Its EV comprehensive cover includes the battery, and roadside assistance can tow you to a charger if you run out of charge.",Best overall balance,"-for customer satisfaction, especially WA | Youi won Canstar’s 2026 Most Satisfied Customers award in WA. Its EV comprehensive cover includes the battery, and roadside assistance can tow you to a charger if you run out of charge. +overall balance",0.9744,,,,
car insurance for electric vehicles in australia with strong customer reviews,multi_term,mixed,most trusted,best,AAMI,Best car insurance for electric vehicles in Australia with strong customer reviews,Most trusted car insurance for electric vehicles in Australia with strong customer reviews,fabf7986-7597-4d82-b1b8-f17b6c010f12,56a95c33-504d-40e9-9456-593bf2bd849f,2026-08-08T12:33:03.870406+10:00,2026-08-08T12:33:31.671775+10:00,"Best overall value/features | Canstar’s 2026 national Outstanding Value winner; explicitly covers EV batteries, charging cables, wall boxes and adapters.",62% | Worth quoting because premiums can be competitive for EVs,"-Best overall value/features +62% -Canstar’s 2026 national Outstanding Value winner; explicitly covers EV batteries, charging cables, wall boxes and adapters. +Worth quoting because premiums can be competitive for EVs",1.0,,,,
car insurance for electric vehicles in australia with strong customer reviews,multi_term,mixed,most trusted,best,Youi,Best car insurance for electric vehicles in Australia with strong customer reviews,Most trusted car insurance for electric vehicles in Australia with strong customer reviews,fabf7986-7597-4d82-b1b8-f17b6c010f12,56a95c33-504d-40e9-9456-593bf2bd849f,2026-08-08T12:33:03.870406+10:00,2026-08-08T12:33:31.671775+10:00,"Best for customer satisfaction, especially WA | Youi won Canstar’s 2026 Most Satisfied Customers award in WA. Its EV comprehensive cover includes the battery, and roadside assistance can tow you to a charger if you run out of charge.",77% | Strong customer service reputation and EV-specific benefits,"-Best for +77% | Strong -satisfaction, especially WA | Youi won Canstar’s 2026 Most Satisfied Customers award in WA. Its EV comprehensive cover includes the battery, +service reputation -roadside assistance can tow you to a charger if you run out of charge. +EV-specific benefits",0.9302,,,,
car insurance for electric vehicles in australia with strong customer reviews,multi_term,mixed,least reliable,best,Bupa,Best car insurance for electric vehicles in Australia with strong customer reviews,Least reliable car insurance for electric vehicles in Australia with strong customer reviews,fabf7986-7597-4d82-b1b8-f17b6c010f12,11aba46e-f4e1-4906-ab55-8e431a5eb1df,2026-08-08T12:33:03.870406+10:00,2026-08-08T12:33:17.930432+10:00,"Strong customer satisfaction nationally | Bupa won Canstar's 2026 national Most Satisfied Customers award, although EV eligibility needs checking for your particular model.",⭐⭐⭐⭐½ | Good | 2026 Canstar national customer-satisfaction winner,"-Strong customer satisfaction nationally +⭐⭐⭐⭐½ -Bupa won Canstar's +Good | +Canstar -Most Satisfied Customers award, although EV eligibility needs checking for your particular model. +customer-satisfaction winner",0.8077,,,,
car insurance for electric vehicles in australia with strong customer reviews,multi_term,mixed,least reliable,best,RAC,Best car insurance for electric vehicles in Australia with strong customer reviews,Least reliable car insurance for electric vehicles in Australia with strong customer reviews,fabf7986-7597-4d82-b1b8-f17b6c010f12,11aba46e-f4e1-4906-ab55-8e431a5eb1df,2026-08-08T12:33:03.870406+10:00,2026-08-08T12:33:17.930432+10:00,"Excellent WA-specific choice | CHOICE reports 77% of RAC customers rated satisfaction above average/excellent. RAC also has EV-trained technicians, EV servicing and roadside assistance for EVs.",⭐⭐⭐⭐½ | Good | Strong WA option and actively supports EV drivers,"-Excellent WA-specific choice +⭐⭐⭐⭐½ -CHOICE reports 77% of RAC customers rated satisfaction above average/excellent. RAC also has EV-trained technicians, +Good | Strong WA option and actively supports -servicing and roadside assistance for EVs. +drivers",0.9032,,,,
car insurance for electric vehicles in australia with strong customer reviews,multi_term,mixed,least reliable,best,Youi,Best car insurance for electric vehicles in Australia with strong customer reviews,Least reliable car insurance for electric vehicles in Australia with strong customer reviews,fabf7986-7597-4d82-b1b8-f17b6c010f12,11aba46e-f4e1-4906-ab55-8e431a5eb1df,2026-08-08T12:33:03.870406+10:00,2026-08-08T12:33:17.930432+10:00,"Best for customer satisfaction, especially WA | Youi won Canstar’s 2026 Most Satisfied Customers award in WA. Its EV comprehensive cover includes the battery, and roadside assistance can tow you to a charger if you run out of charge.","⭐⭐⭐⭐ | Good | Strong customer-experience results nationally, but premiums can vary dramatically","-Best for customer satisfaction, especially WA +⭐⭐⭐⭐ -Youi won Canstar’s 2026 Most Satisfied Customers award in WA. Its EV comprehensive cover includes the battery, and roadside assistance +Good | Strong customer-experience results nationally, but premiums -tow you to a charger if you run out of charge. +vary dramatically",0.9565,,,,
car insurance for electric vehicles in australia with strong customer reviews,multi_term,mixed,most affordable,best,AAMI,Best car insurance for electric vehicles in Australia with strong customer reviews,Most affordable car insurance for electric vehicles in Australia with strong customer reviews,fabf7986-7597-4d82-b1b8-f17b6c010f12,87581b56-468f-4c24-af79-df362ffc36af,2026-08-08T12:33:03.870406+10:00,2026-08-08T12:32:58.626949+10:00,"Best overall value/features | Canstar’s 2026 national Outstanding Value winner; explicitly covers EV batteries, charging cables, wall boxes and adapters.",Good mainstream alternative | Recognised for Easy to Claim in NSW and SA | EV availability depends on model; compare quote,"-Best overall value/features +Good mainstream alternative -Canstar’s 2026 national Outstanding Value winner; explicitly covers +Recognised for Easy to Claim in NSW and SA | -batteries, charging cables, wall boxes and adapters. +availability depends on model; compare quote",0.9459,,,,
car insurance for electric vehicles in australia with strong customer reviews,multi_term,mixed,most affordable,best,Youi,Best car insurance for electric vehicles in Australia with strong customer reviews,Most affordable car insurance for electric vehicles in Australia with strong customer reviews,fabf7986-7597-4d82-b1b8-f17b6c010f12,87581b56-468f-4c24-af79-df362ffc36af,2026-08-08T12:33:03.870406+10:00,2026-08-08T12:32:58.626949+10:00,"Best for customer satisfaction, especially WA | Youi won Canstar’s 2026 Most Satisfied Customers award in WA. Its EV comprehensive cover includes the battery, and roadside assistance can tow you to a charger if you run out of charge.","Best overall balance | #1 nationally for Top Value, Easiest to Claim, Legendary Service and Most Recommended in Finder's 2026 awards | Has dedicated EV insurance; worth getting a quote","+overall balance | #1 nationally -customer satisfaction, especially WA +Top Value, Easiest to Claim, Legendary Service and Most Recommended in Finder's 2026 awards -Youi won Canstar’s 2026 Most Satisfied Customers award in WA. Its +Has dedicated -comprehensive cover includes the battery, and roadside assistance can tow you to +insurance; worth getting -charger if you run out of charge. +quote",0.8214,,,,
